model_name,pretrained_tag,model_id,arch_family,resnet_depth,resnet_multiplier,patch_size,image_size,training_data,quickgelu,embed_dim,total_params_M,acc_gt_text1,acc_gt_text2,avg_accuracy,worst_group_accuracy,worst_group,best_group_accuracy,best_group,accuracy_gap,total_images,load_time_s,encode_time_s,"acc_obj=country, bg=country, co=country","acc_obj=country, bg=country, co=urban","acc_obj=country, bg=urban, co=country","acc_obj=country, bg=urban, co=urban","acc_obj=urban, bg=country, co=country","acc_obj=urban, bg=country, co=urban","acc_obj=urban, bg=urban, co=country","acc_obj=urban, bg=urban, co=urban",vit_size
ViT-L-14,commonpool_xl_clip_s13b_b90k,ViT-L-14_commonpool_xl_clip_s13b_b90k,ViT,,,14.0,224,CommonPool,False,768.0,427.6,0.746,0.884,0.815,0.608,"obj=urban, bg=urban, co=country",0.936,"obj=country, bg=urban, co=country",0.20699999999999996,1000,20.7,3.5,0.856,0.84,0.936,0.904,0.776,0.864,0.608,0.736,L
ViT-B-32-quickgelu,metaclip_fullcc,ViT-B-32-quickgelu_metaclip_fullcc,ViT,,,32.0,224,MetaCLIP,True,512.0,151.3,0.806,0.824,0.815,0.776,"obj=urban, bg=urban, co=country",0.848,"obj=country, bg=country, co=country",0.038999999999999924,1000,21.7,1.9,0.848,0.848,0.816,0.784,0.808,0.808,0.776,0.832,B
ViT-L-14,dfn2b_s39b,ViT-L-14_dfn2b_s39b,ViT,,,14.0,224,DFN,False,768.0,427.6,0.972,0.658,0.815,0.592,"obj=country, bg=country, co=urban",0.992,"obj=urban, bg=country, co=urban",0.22299999999999998,1000,20.5,3.4,0.688,0.592,0.744,0.608,0.96,0.992,0.96,0.976,L
ViT-B-16-SigLIP-256,webli,ViT-B-16-SigLIP-256_webli,ViT,,,16.0,256,WebLI,False,,203.2,0.694,0.934,0.814,0.552,"obj=urban, bg=country, co=country",0.936,"obj=country, bg=country, co=country",0.2619999999999999,1000,12.0,1.4,0.936,0.928,0.936,0.936,0.552,0.744,0.664,0.816,B
ViT-L-14,metaclip_fullcc,ViT-L-14_metaclip_fullcc,ViT,,,14.0,224,MetaCLIP,False,768.0,427.6,0.718,0.91,0.814,0.52,"obj=urban, bg=country, co=country",0.936,"obj=country, bg=country, co=country",0.29399999999999993,1000,20.9,3.4,0.936,0.928,0.92,0.856,0.52,0.76,0.72,0.872,L
xlm-roberta-base-ViT-B-32,laion5b_s13b_b90k,xlm-roberta-base-ViT-B-32_laion5b_s13b_b90k,ViT,,,32.0,224,laion5b_s13b_b90k,False,512.0,366.1,0.888,0.74,0.814,0.704,"obj=country, bg=urban, co=urban",0.928,"obj=urban, bg=urban, co=urban",0.10999999999999999,1000,23.0,2.4,0.8,0.736,0.72,0.704,0.88,0.92,0.824,0.928,B
RN50x64,openai,RN50x64_openai,ResNet,50.0,x64,,448,OpenAI WIT (400M),False,1024.0,623.3,0.99,0.638,0.814,0.592,"obj=country, bg=urban, co=urban",1.0,"obj=urban, bg=country, co=country",0.22199999999999998,1000,23.9,10.5,0.656,0.64,0.664,0.592,1.0,0.976,1.0,0.984,
ViT-L-16-SigLIP2-512,webli,ViT-L-16-SigLIP2-512_webli,ViT,,,16.0,512,WebLI,False,,882.3,0.646,0.98,0.813,0.52,"obj=urban, bg=country, co=country",0.984,"obj=country, bg=country, co=country",0.2929999999999999,1000,51.2,11.9,0.984,0.984,0.968,0.984,0.52,0.656,0.68,0.728,L
convnext_base_w,laion2b_s13b_b82k_augreg,convnext_base_w_laion2b_s13b_b82k_augreg,ConvNeXt,,,,256,LAION-2B,False,,179.4,0.948,0.674,0.811,0.584,"obj=country, bg=urban, co=urban",0.984,"obj=urban, bg=urban, co=urban",0.2270000000000001,1000,10.5,1.5,0.76,0.704,0.648,0.584,0.904,0.96,0.944,0.984,
ViT-L-14-CLIPA,datacomp1b,ViT-L-14-CLIPA_datacomp1b,ViT,,,14.0,224,DataComp,False,768.0,414.2,0.716,0.904,0.81,0.528,"obj=urban, bg=country, co=country",0.944,"obj=country, bg=country, co=country",0.28200000000000003,1000,23.6,3.7,0.944,0.888,0.936,0.848,0.528,0.824,0.64,0.872,L
ViT-B-16,commonpool_l_clip_s1b_b8k,ViT-B-16_commonpool_l_clip_s1b_b8k,ViT,,,16.0,224,CommonPool,False,512.0,149.6,0.862,0.758,0.81,0.744,"obj=country, bg=country, co=urban",0.92,"obj=urban, bg=country, co=urban",0.06600000000000006,1000,9.8,2.0,0.784,0.744,0.752,0.752,0.856,0.92,0.792,0.88,B
ViT-B-16,laion400m_e32,ViT-B-16_laion400m_e32,ViT,,,16.0,224,LAION-400M,False,512.0,149.6,0.748,0.872,0.81,0.688,"obj=urban, bg=country, co=country",0.896,"obj=country, bg=country, co=urban",0.12200000000000011,1000,11.0,2.0,0.864,0.896,0.864,0.864,0.688,0.768,0.72,0.816,B
